countrycode,Country,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Country ID
TJK,Tajikistan,-0.2322879,-0.389476683,-0.350137152,-0.400266022,-0.662255856,-0.771809111,-0.715439243,-0.497370679,-0.526868373,-0.704962332,-0.76869811,-0.723611282,-0.758847589,-0.82508764,-0.74467332,-0.647770071,-0.514776137,-0.608018218,-0.72492152,-0.569043479,-0.675979079,-0.659146989,astjk
TKM,Turkmenistan,-0.328759739,-0.779289692,-0.81163949,-1.20322282,-1.15725084,-1.184564485,-1.266161728,-1.114422963,-1.277397185,-1.243490142,-1.33686628,-1.207439739,-1.017848048,-0.966215452,-1.198238607,-1.305624405,-1.144145534,-1.133031288,-0.907842453,-0.755183241,-0.738826473,-0.609977255,astkm
TLS,Timor-Leste,,,,,,,,,0.816655981,0.11138784,0.234681837,0.057148219,0.346397229,0.253942101,-0.332847342,-0.561859641,-0.122158061,-0.051624103,-0.482357625,-0.607156604,-0.412551154,-0.252066172,astls
TUR,Turkey,0.167749534,0.223556799,0.258460682,0.212019501,0.177392462,0.202906278,0.239428739,0.279399016,0.329462742,0.33813279,0.385279572,0.414568337,0.412357894,0.393964884,0.499180403,0.551205275,0.578038626,0.497199242,0.523595209,0.590716493,0.642479701,0.694143925,astur
UZB,Uzbekistan,0.045333007,0.003023307,-0.10759389,-0.298895959,-0.325950443,-0.390483514,-0.491139335,-0.387318968,-0.477746755,-0.546732933,-0.620979384,-0.604235061,-0.682359911,-0.656504456,-0.498602221,-0.562556163,-0.44720303,-0.540018478,-0.611714118,-0.46743725,-0.408565276,-0.398341208,asuzb
VNM,Vietnam,-1.048953004,-0.875088104,-0.736358163,-0.670457797,-0.7246929,-0.631340559,-0.502741275,-0.399014752,-0.368176625,-0.360901982,-0.248385466,-0.285905446,-0.292739967,-0.243901344,-0.072608787,-0.051666176,-0.015579844,-0.140319543,-0.065754413,0.019063255,0.119214027,0.112720472,asvnm
XXB,Chinese Taipei,1.070581947,1.206857969,1.419076503,1.474467085,1.517666235,1.649287844,1.714298946,1.7029942,1.768861143,1.784249103,1.72965118,1.741614516,1.763450216,1.889629654,1.953957729,1.903023633,1.849381527,1.932330252,2.044953999,2.062518301,2.071512226,2.079872321,asxxb
YEM,Yemen,-1.376031263,-1.720179396,-1.569456868,-1.613146695,-1.580036523,-1.625092418,-1.39953645,-1.128369509,-1.065669511,-1.105906626,-1.137535495,-1.055161762,-0.983087681,-0.952984907,-1.076688673,-0.905858496,-0.89019386,-0.749310852,-0.726747046,-1.045132512,-1.377022264,-1.272715233,asyem
ALB,Albania,-0.58850694,-0.427162192,-0.338962149,-0.464616339,-0.461563939,-0.360581925,-0.309733668,-0.346118463,-0.452653429,-0.481050095,0.00024213,0.348096558,0.281392014,0.028127391,-0.426036432,-0.402719378,-0.341738113,-0.546466543,-0.551504013,-0.382655169,-0.298258705,-0.243741987,eualb
AUT,Austria,1.656045933,1.700509173,1.714323027,1.71249829,1.778358269,1.783705934,1.768432676,1.758773486,1.752047026,1.701203863,1.655047962,1.680716561,1.658667798,1.702666976,1.68174542,1.63447249,1.587298992,1.618575823,1.674414701,1.661032376,1.62739013,1.647109144,euaut
BEL,Belgium,,1.502684463,1.526896229,1.522853461,1.605655716,1.617954636,1.629876033,1.637971428,1.559489711,1.517685101,1.485673126,1.4720746,1.480318335,1.490895384,1.456250526,1.38953203,1.359115563,1.398161801,1.400728672,1.396960065,1.383927529,1.394342633,eubel
BGR,Bulgaria,0.385119149,0.356807597,0.350284652,0.347007651,0.29515259,0.27452583,0.330726741,0.39114927,0.396427074,0.415673059,0.465210425,0.508717667,0.480992357,0.452799967,0.556352749,0.555946159,0.600114706,0.542326001,0.563689871,0.629497944,0.609378761,0.605985705,eubgr
BIH,Bosnia and Herzegovina,0.21619235,0.227749074,0.328948867,0.215732178,0.215579612,0.384359169,0.431186986,0.458050341,0.532803376,0.479189305,0.517980091,0.542336732,0.540601175,0.574823217,0.627483981,0.63362818,0.65180021,0.535871447,0.57302473,0.630763877,0.695665178,0.695542521,eubih
BLR,Belarus,0.909828427,0.822975065,0.767483466,0.738796772,0.723446579,0.817536366,0.906579735,0.937038379,0.961718917,1.014599147,0.97304174,1.026382676,0.997710123,1.011860456,1.040214211,1.044544789,0.994491164,0.993559582,0.900793934,0.891815981,0.89179212,0.931498174,eublr
CHE,Switzerland,2.004754318,2.009515975,2.047164018,2.021490908,2.097112756,2.07303727,2.07145944,1.927008628,1.914432714,1.918207168,1.897198202,1.925977222,1.92786905,2.02605325,2.03113067,2.01053107,1.931297026,2.025694954,2.131169881,2.117469203,2.08410501,2.014323148,euche
CZE,Czechia,1.325738653,1.344504709,1.400093672,1.440674314,1.532929391,1.598021055,1.569608992,1.618333481,1.610102395,1.608424728,1.611201932,1.686520978,1.710514622,1.773894893,1.754872178,1.712241365,1.672173762,1.719930863,1.776072335,1.757272497,1.753831999,1.726767793,eucze
DEU,Germany,2.040055671,2.035417477,2.067626062,2.103588922,2.159679556,2.185289598,2.201172097,2.160208312,2.091688261,2.02553811,2.011059281,2.042055651,2.00948055,2.043234146,2.023046428,1.951330453,1.897931856,1.980153458,2.055519315,2.028588515,1.98762345,1.97538289,eudeu
DNK,Denmark,1.353716024,1.404555196,1.369515705,1.321515237,1.295961376,1.328839293,1.302071423,1.247251063,1.202872972,1.177526248,1.159739633,1.161424409,1.157793354,1.14125759,1.170244229,1.143464116,1.108114739,1.113989197,1.148390805,1.146600231,1.098779196,1.108467307,eudnk
ESP,Spain,1.266084372,1.25552818,1.276912876,1.274904126,1.244289085,1.232329454,1.144871082,1.144000376,1.090960864,1.041789697,1.055796014,1.033400194,0.973118288,0.94555571,0.966608544,0.958424559,0.914128209,0.893949084,0.910816948,0.886089076,0.899340311,0.895208957,euesp
EST,Estonia,0.563491104,0.547261861,0.502800595,0.42024752,0.468793507,0.558704902,0.633826974,0.76055279,0.783093976,0.884588427,0.845788902,0.823397614,0.804049916,0.8847954,0.897834328,0.919431582,0.916283784,0.961897454,1.04715945,1.085936929,1.10344274,1.080069039,euest
FIN,Finland,1.783604494,1.7979594,1.794293725,1.827933411,1.902848404,1.845141067,1.862421255,1.871724669,1.879032217,1.843587509,1.737434694,1.788920809,1.719350505,1.766174038,1.663377277,1.61492231,1.593484221,1.631065036,1.618409104,1.601889689,1.596909103,1.576241299,eufin
FRA,France,1.710550165,1.669597762,1.6941323,1.689057494,1.736592667,1.752169976,1.742361931,1.650398477,1.585219495,1.544112296,1.524469726,1.521356727,1.540700105,1.556706544,1.540505973,1.497823699,1.446759083,1.470321394,1.506082518,1.507437882,1.466081044,1.445330497,eufra
GBR,United Kingdom,1.874785095,1.871891075,1.905441151,1.981504383,2.00830256,1.951799128,1.964259109,1.893641335,1.805696145,1.717317341,1.705678141,1.696222276,1.727464005,1.712913131,1.677240456,1.608678273,1.563327271,1.584909709,1.622214804,1.569679796,1.536946014,1.503359464,eugbr
GRC,Greece,0.416483805,0.419688231,0.418285473,0.398596886,0.373150288,0.468419635,0.391760942,0.460605317,0.371671155,0.340743859,0.324110367,0.295310844,0.302364976,0.28597741,0.363034746,0.378632658,0.395414851,0.353587689,0.342973851,0.424701825,0.387569284,0.384219536,eugrc
HRV,Croatia,0.604322686,0.603381332,0.586733516,0.518007599,0.505561529,0.538778182,0.544173998,0.618410055,0.631004825,0.688418758,0.717764167,0.744921628,0.768228792,0.716734834,0.843207461,0.872620156,0.850878244,0.793730638,0.829727683,0.825800058,0.84372161,0.85087768,euhrv
HUN,Hungary,0.930596552,0.975980718,1.067601642,1.108751766,1.166541193,1.305813776,1.314262956,1.335970573,1.394034101,1.431338256,1.426708421,1.491965082,1.507761768,1.509554516,1.52022765,1.483399461,1.491706859,1.526651613,1.583674522,1.577574953,1.565660823,1.521588641,euhun
IRL,Ireland,1.690007486,1.724174729,1.738459757,1.837334021,1.931254094,1.889911726,1.898432695,1.8140396,1.609063585,1.537928815,1.52346962,1.528806852,1.546756796,1.52436449,1.468908632,1.424448617,1.384054426,1.429034001,1.460903336,1.422835219,1.375847665,1.36696949,euirl
ITA,Italy,1.438668494,1.463826207,1.505244525,1.503900308,1.461131228,1.451195424,1.426172889,1.433907247,1.420549808,1.402744484,1.371483572,1.411817892,1.378397006,1.43324942,1.444164324,1.403003828,1.390499069,1.369352835,1.402230622,1.412860047,1.397830961,1.40226495,euita
LTU,Lithuania,0.29884077,0.238010194,0.229467408,0.178222205,0.069639606,0.108931963,0.177590278,0.396941084,0.4578595,0.59090096,0.663475137,0.701264474,0.627892004,0.635687597,0.78066238,0.825225522,0.856096855,0.81579206,0.839697239,0.897333866,0.974491057,1.009842413,eultu
LVA,Latvia,0.394880971,0.301862269,0.318729973,0.250451423,0.294557643,0.32097609,0.402649507,0.54011502,0.653327731,0.692393613,0.732237693,0.766785126,0.699404857,0.739265188,0.788325368,0.769506077,0.744256174,0.699417301,0.785538265,0.83265191,0.891684873,0.914061676,eulva
MDA,Moldova,-0.107763952,-0.137195067,-0.017962226,-0.088473003,-0.199511157,-0.138308361,-0.086333218,-0.066854339,-0.073056113,-0.041769864,-0.032690306,-0.00271353,-0.03769927,-0.1511762,0.032997979,0.140410467,0.115539501,-0.00493099,-0.105724802,-0.072357632,0.021856585,-0.032150862,eumda
MKD,North Macedonia,0.179523264,0.125014811,0.132443155,0.019253976,-0.022556201,-0.077097039,-0.174004847,-0.109845926,-0.158192224,-0.146730991,-0.141585154,-0.057863911,-0.087568908,-0.181298968,-0.088828458,0.025721689,0.027754967,-0.0701112,-0.104072465,0.039161787,0.090913545,0.180420059,eumkd
NLD,Netherlands,1.610974752,1.550873055,1.536810971,1.590777932,1.584305437,1.533938906,1.519374254,1.447732473,1.414508489,1.436655214,1.38276845,1.32203179,1.300010462,1.294125832,1.314703448,1.287514348,1.245772602,1.258002803,1.298214567,1.292221002,1.258792434,1.236259651,eunld
NOR,Norway,1.227590864,1.227021277,1.119488655,1.128112172,0.980256517,0.895761894,0.948839581,1.015613075,1.009247943,1.110134883,1.047997079,1.090729715,1.140505024,1.07678497,0.964664784,0.980186463,0.913884904,1.023689232,1.004160298,0.928210231,0.845220899,0.844653082,eunor
POL,Poland,0.817299904,0.788382159,0.819314163,0.835177967,0.856331617,0.931539224,0.957677562,1.042609376,1.071420993,1.114010261,1.139476483,1.167788223,1.1817256,1.154464811,1.168185582,1.151807111,1.124276315,1.136504959,1.16213449,1.182066118,1.177267534,1.184334892,eupol
PRT,Portugal,0.360572369,0.399010486,0.470128639,0.452522203,0.44324225,0.430332943,0.465945817,0.511743041,0.488194393,0.450256718,0.456900665,0.47300487,0.459973956,0.422750649,0.504213577,0.523029045,0.553783013,0.47377756,0.511243809,0.521414982,0.558970538,0.576123295,euprt
ROU,Romania,0.360998008,0.260568448,0.282167301,0.267333882,0.193079967,0.357137147,0.360605611,0.451778915,0.523695904,0.605187409,0.69204395,0.82080815,0.845404349,0.794905687,0.827187495,0.856593354,0.882724379,0.929247378,0.996188617,1.103227138,1.123582348,1.145977206,eurou
RUS,Russia,0.848880743,0.762438776,0.795749313,0.831781142,0.805105432,0.811262369,0.701979844,0.930888695,0.924018831,0.931115725,0.922262408,0.986304191,1.041220422,0.903465822,0.826314089,0.848016186,0.690134787,0.646547209,0.637898281,0.606696101,0.630809632,0.636662962,eurus
SRB,Serbia,,,,,,,,,0.736240247,0.688997198,0.708522667,0.702864493,0.708731475,0.649870998,0.694533326,0.761104035,0.744696635,0.678240089,0.694552892,0.742371976,0.793227229,0.781705185,eusrb
SVK,Slovakia,1.013978102,1.012833734,1.020244225,1.042177791,1.042362087,1.124925502,1.169500457,1.244521002,1.213733027,1.270826134,1.298898654,1.37397678,1.371328373,1.395407268,1.379454894,1.392438048,1.352664953,1.391462912,1.436238595,1.455199062,1.466750715,1.455523155,eusvk
SVN,Slovenia,1.254962572,1.314105361,1.339307767,1.361230636,1.395758559,1.487662682,1.47733766,1.515840898,1.534235773,1.51651762,1.519467315,1.536799274,1.552110723,1.588403002,1.55660523,1.528505326,1.490213711,1.503956901,1.612967599,1.613368522,1.586520252,1.566997095,eusvn
SWE,Sweden,2.020189161,1.999212356,1.99531832,2.050933344,2.083733844,2.018041474,2.019346974,1.934769517,1.912116645,1.917188679,1.867219184,1.87344482,1.82838059,1.867333695,1.835776885,1.786351528,1.745388293,1.773899568,1.799999476,1.750057913,1.709685904,1.693374528,euswe
UKR,Ukraine,0.887966517,0.77941261,0.7652694,0.73937573,0.749732212,0.784452166,0.799940709,0.834814019,0.789256474,0.806650817,0.853861117,0.819513176,0.830352732,0.821231045,0.787887313,0.824827752,0.787095115,0.75796462,0.703228634,0.680245782,0.677048144,0.648841157,euukr
CAN,Canada,1.357655598,1.285906567,1.223245217,1.244271211,1.255927308,1.231285618,1.17129465,1.157927418,1.089093225,1.056981573,1.064182567,1.094058099,1.093921698,1.104165513,1.058118546,1.032665802,1.052924952,1.054728899,1.037068303,1.042536282,1.010313992,1.056816372,nacan
CRI,Costa Rica,0.081727529,0.037534889,0.172424002,0.179225594,0.189343663,0.213902292,0.206745433,0.137544885,0.221379732,0.222660456,0.24934982,0.178159867,0.023151229,0.020174708,0.135818484,0.212387373,0.348986194,0.370359828,0.360129397,0.31685365,0.330336388,0.36117809,nacri
CUB,Cuba,-0.141575933,0.081048717,-0.085980814,-0.242115238,-0.46895694,-0.320224302,0.139141185,0.300400707,0.423173624,0.414291967,0.215655185,-0.170991111,-0.040022392,-0.142260002,-0.030846778,0.099140188,-0.026133294,-0.130142112,-0.439703942,-0.415332939,-0.548136927,-0.674475342,nacub
DOM,Dominican Republic,-0.632654969,-0.53576686,-0.406783155,-0.382781547,-0.46807312,-0.34652155,-0.311278624,-0.323739089,-0.27791703,-0.32685604,-0.243983149,-0.133349588,-0.135780951,-0.167938472,-0.123778476,-0.113004314,-0.077659604,-0.165979385,-0.176012794,-0.120335099,-0.084748713,-0.050617873,nadom
GTM,Guatemala,-0.225589978,-0.275929448,-0.264086309,-0.362839185,-0.357630554,-0.261241836,-0.237372069,-0.295604363,-0.322051017,-0.364661633,-0.300135934,-0.395222074,-0.475786192,-0.514915804,-0.349583311,-0.341964616,-0.229302711,-0.27734557,-0.304252827,-0.217211477,-0.211962736,-0.204116424,nagtm
HND,Honduras,-0.790006628,-0.732905457,-0.781443169,-0.951952076,-1.038086865,-0.964049777,-0.830602151,-0.867662528,-0.812340427,-0.75190475,-0.718363127,-0.732782633,-0.752311575,-0.828710116,-0.622815695,-0.524426843,-0.421743702,-0.498622683,-0.439101298,-0.466624367,-0.398897256,-0.430782913,nahnd
HTI,Haiti,-1.258876991,-1.200873981,-1.072256536,-1.092661464,-1.14186151,-1.170158726,-1.231720892,-1.263221745,-1.352469485,-1.386056476,-1.33182251,-1.34295158,-1.438063564,-1.63538811,-1.384838413,-1.205654364,-1.11886939,-1.351188468,-1.348419084,-1.169704812,-1.087188003,-1.113207071,nahti
JAM,Jamaica,-0.778486272,-0.719763775,-0.648135118,-0.689648206,-0.688273218,-0.715564268,-0.537261998,-0.431923607,-0.388309043,-0.367555017,-0.373831517,-0.263674761,-0.282310754,-0.149419881,-0.119162527,-0.229658018,-0.235502899,-0.271532597,-0.234167121,-0.180990845,-0.180250521,-0.238220698,najam
MEX,Mexico,0.844785182,0.862579475,1.012748499,1.071602368,1.149761706,1.225645848,1.229075049,1.208494497,1.12740413,1.111016987,1.115910783,1.136188746,1.183473565,1.24605164,1.279270866,1.258877524,1.254666927,1.306123442,1.342303874,1.371286444,1.307700716,1.272253275,namex
NIC,Nicaragua,-0.7460305,-0.677194756,-0.816926062,-0.929428895,-0.976336942,-1.008946338,-0.976651995,-1.003183009,-0.983017262,-0.907995076,-1.005252742,-0.973513642,-1.100288348,-1.156742725,-1.070075278,-0.960380093,-0.919817882,-1.063701327,-1.179108121,-1.071078558,-0.996936509,-0.939010057,nanic
PAN,Panama,-0.028220518,0.008016535,0.132917789,-0.003577367,-0.061551429,-0.031348471,-0.020932161,-0.021054946,0.103165637,0.093582573,0.234946074,0.20464281,0.180762733,0.261859194,0.444078317,0.511422585,0.427168111,0.343700931,0.348770132,0.361997757,0.315410598,0.224005571,napan
SLV,El Salvador,-0.025758949,0.018013026,-0.002023242,-0.064998581,-0.137066323,-0.041987693,-0.012205273,-0.173264406,-0.246179772,-0.282634908,-0.302571503,-0.291097915,-0.316916909,-0.370793782,-0.176584891,-0.114354687,-0.030528255,-0.125723528,-0.138809875,0.038323644,0.047252595,0.045282451,naslv
TTO,Trinidad and Tobago,0.365642803,0.268290627,0.107794388,0.159628542,0.077739565,0.039621759,-0.044695631,-0.083328337,-0.155120793,-0.112051397,-0.207985481,-0.182850104,-0.224861178,-0.155470603,-0.231077556,-0.133849871,-0.306167048,-0.208714345,-0.157176658,-0.047790242,0.079707898,0.206034444,natto
USA,United States,1.896803518,1.893490652,1.935797682,1.94830678,1.989342926,1.928390715,1.90575651,1.841977611,1.808816686,1.746653114,1.71451352,1.698600626,1.695605725,1.730339547,1.709508424,1.642830663,1.618443434,1.691079564,1.725421942,1.695069512,1.644027404,1.630986474,nausa
AUS,Australia,0.714788226,0.588991508,0.510688459,0.47899659,0.443684009,0.316901722,0.240628539,0.239035417,0.193249656,0.284873396,0.205629587,0.104151016,-0.015430702,-0.124430965,0.001534725,0.040335532,-0.016445392,-0.02015472,0.027076376,-0.091975795,-0.126689372,-0.155126659,ocaus
NZL,New Zealand,0.932665375,0.859399394,0.784693964,0.784597546,0.740619013,0.673791013,0.597795684,0.63594472,0.650469879,0.664324564,0.619710671,0.586261073,0.524827326,0.545009078,0.60899722,0.633454339,0.572982354,0.529412526,0.509348492,0.4433918,0.460137122,0.508523481,ocnzl
PNG,Papua New Guinea,-1.827096623,-1.91530404,-1.943834136,-1.936851109,-1.4200777,-1.392362887,-1.317552826,-1.539238525,-1.73660563,-2.256014781,-2.16477964,-2.281343242,-2.260294195,-1.756695561,-1.697428148,-1.499602743,-1.546804155,-1.739230476,-1.787987672,-1.896376206,-1.872460748,-1.611470198,ocpng
ARG,Argentina,0.527355061,0.525736848,0.508375064,0.607506709,0.524490607,0.475349248,0.488100411,0.474411703,0.454925862,0.476681539,0.482765469,0.476140573,0.468393314,0.422409408,0.473205829,0.523546522,0.530898216,0.476392705,0.39235094,0.315937229,0.223466405,0.225680508,saarg
BOL,Bolivia,-0.382989141,-0.454600077,-0.44770965,-0.544921558,-0.651014035,-0.719059899,-0.738726418,-0.929468279,-0.742890935,-0.924553238,-0.761455968,-0.994000734,-0.993302823,-1.013381596,-0.611166279,-0.567909999,-0.591861667,-0.875097215,-0.858262226,-0.806634117,-0.794335104,-0.847422014,sabol
BRA,Brazil,0.97951583,0.871949925,0.816111808,0.810229908,0.808237971,0.796870874,0.776675346,0.847372086,0.864895843,0.91539157,0.883312064,0.773172963,0.831955199,0.826427844,0.799638832,0.836811274,0.75624322,0.791623534,0.682272174,0.671354023,0.637769563,0.55255358,sabra
CHL,Chile,0.374217445,0.260161823,0.154972617,0.054075007,-0.008387346,-0.048809578,-0.130078823,-0.079357252,-0.083534906,-0.116559113,-0.108996876,-0.113486099,-0.078494905,-0.087127339,0.080559209,0.098120086,0.053537272,-0.026851496,-0.0801494,-0.096920584,-0.079381504,-0.082518774,sachl
COL,Colombia,0.302836978,0.239319619,0.21414939,0.279030649,0.230473071,0.20002705,0.134217833,0.107649164,0.146491869,0.105977831,0.092522401,0.060485468,0.055092499,0.091990615,0.171977766,0.191419905,0.311555926,0.232867601,0.253890808,0.300107208,0.305979049,0.320230446,sacol
ECU,Ecuador,-0.53075497,-0.518305715,-0.611315618,-0.662432428,-0.847991796,-0.786171977,-0.818439521,-0.748286794,-0.644809242,-0.628510605,-0.72943191,-0.782310036,-0.642586261,-0.601299524,-0.438055765,-0.44375699,-0.50209135,-0.683868584,-0.885265944,-0.841502561,-0.658239345,-0.74924031,saecu
PER,Peru,-0.388814716,-0.440031496,-0.493855635,-0.476909331,-0.411919287,-0.633195702,-0.768608469,-0.768993079,-0.760196585,-0.695984237,-0.658716095,-0.675266296,-0.718867131,-0.754332001,-0.528783738,-0.48328949,-0.411677704,-0.505636643,-0.521883626,-0.536588683,-0.500220673,-0.498420706,saper
PRY,Paraguay,-0.409220522,-0.379877369,-0.483574466,-0.627367002,-0.738529967,-0.690314932,-0.521663056,-0.583995339,-0.690323965,-0.719338817,-0.67693784,-0.758478431,-0.787195206,-0.788086115,-0.658030098,-0.472446912,-0.404655385,-0.540869867,-0.605250999,-0.417684078,-0.415205167,-0.385844753,sapry
URY,Uruguay,0.479263611,0.431710066,0.436703059,0.428849348,0.352497569,0.216403499,0.25474693,0.404253835,0.353653087,0.23635418,0.173916034,0.1965165,0.183171319,0.159172679,0.202119731,0.270574217,0.245369129,0.239101155,0.256269048,0.289971815,0.155968354,0.106017232,saury
VEN,Venezuela,0.451217074,0.396216247,0.262142277,0.219093732,0.237757513,0.150321127,0.101115451,0.157491997,0.134169666,0.226474718,0.182263441,0.162742814,0.219868989,-0.045814466,-0.19517933,-0.314428735,-0.400005382,-0.310345067,-0.527201524,-0.488222326,-0.524389096,-0.729377701,saven
