Country,countrycode,ECI 2018,ECI 2017,ECI 2016,ECI 2015,ECI 2014,ECI 2013,ECI 2012,ECI 2011,ECI 2010,ECI 2009,ECI 2008,ECI 2007,ECI 2006,ECI 2005,ECI 2004,ECI 2003,ECI 2002,ECI 2001,ECI 2000,ECI 1999,ECI 1998,ECI 1997,ECI 1996,ECI 1995,COI 2018,COI 2017,COI 2016,COI 2015,COI 2014,COI 2013,COI 2012,COI 2011,COI 2010,COI 2009,COI 2008,COI 2007,COI 2006,COI 2005,COI 2004,COI 2003,COI 2002,COI 2001,COI 2000
Iran,IRN,-0.7058,-0.2747,-0.2804,-0.6162,-0.386,-0.1455,-1.0655,-0.9649,-0.6529,-1.3243,-1.2215,-0.8335,-0.7994,-0.624,-0.653,-0.7767,-0.679,-0.9832,-0.8425,-0.8816,-0.7644,-0.868,-0.9986,-0.7921,-0.8034,-0.4273,-0.2538,-0.7378,-0.3225,-0.1363,-0.9947,-0.9887,-0.8322,-1.0849,-1.0983,-0.9809,-0.9532,-0.9702,-0.9799,-1.0345,-0.8438,-1.0567,-1.0431
Israel,ISR,1.2009,1.1747,1.0032,0.9997,0.9802,1.0238,1.1129,1.1922,1.2449,1.0781,1.0085,0.9405,1.2851,1.3082,1.2541,1.2323,1.257,1.1806,1.4122,1.3779,1.2849,1.4192,1.1644,1.2083,1.0047,0.9071,0.8026,0.6857,0.8109,0.8296,0.7252,0.7851,0.7975,0.9731,0.8782,0.7744,0.8865,0.8024,0.8607,0.8785,0.8326,0.8893,0.8533
Italy,ITA,1.44,1.4438,1.476,1.4539,1.4778,1.4234,1.3915,1.4153,1.4216,1.3866,1.3751,1.405,1.4176,1.4635,1.4367,1.4507,1.3947,1.5035,1.522,1.4942,1.5658,1.5948,1.5952,1.653,0.0399,0.2523,0.2025,0.1603,-0.3028,-0.2993,-0.3995,-0.2951,-0.0548,-0.1608,-0.2585,-0.2613,0.1586,0.4229,0.6744,0.9516,1.1386,0.8219,0.8622
Jamaica,JAM,-0.5794,-0.3277,-0.2292,-0.3005,-0.3932,-0.3666,-0.3043,0.063,0.0058,-0.0937,-0.2633,-0.3802,-0.286,-0.3614,-0.4675,-0.6482,-0.4674,-0.5624,-0.7023,-0.75,-0.656,-0.7169,-0.6416,-0.846,-0.9991,-0.7372,-0.6097,-0.7794,-0.8048,-0.7482,-0.7399,-0.4802,-0.4331,-0.6537,-0.9183,-0.9563,-0.9497,-0.9466,-0.9264,-0.9795,-0.9473,-0.9345,-0.8901
Jordan,JOR,0.1699,0.1018,0.1643,0.1438,0.2321,0.1888,0.295,0.2568,0.3547,0.3584,0.3565,0.2922,0.3241,0.2175,0.1733,0.0759,0.3291,0.5458,0.6224,0.6265,0.3017,0.6444,0.2312,0.698,0.4415,0.1921,0.0369,0.3556,0.4745,0.5986,0.6379,0.4947,0.4771,0.5664,0.4745,0.5984,0.4116,0.3554,0.3497,0.4423,0.2649,0.8468,1.3489
Japan,JPN,2.4265,2.4435,2.4871,2.4377,2.2971,2.3306,2.3293,2.3485,2.4386,2.2771,2.3118,2.3015,2.4436,2.6486,2.7404,2.7041,2.7861,2.7011,2.8951,2.7788,2.7039,2.7642,2.8689,2.7586,-0.4496,-0.3809,-0.4347,-0.2998,-0.5863,-0.8061,-0.847,-0.4068,-0.3005,-0.3416,-0.0967,0.0398,-0.0265,0.1017,0.1298,0.3292,0.4339,0.4589,0.2832
Kazakhstan,KAZ,-0.5931,-0.4437,-0.4115,-0.5213,-0.5088,-0.9097,-0.4482,-0.9472,-0.8948,-0.7353,-0.5826,-0.3796,-0.1906,-0.2653,-0.4407,-0.1463,-0.1106,-0.0862,-0.1887,-0.1751,0.0308,0.3067,0.451,0.0526,-0.5737,-0.4092,-0.464,-0.5495,-0.5487,-0.7377,-0.4214,-0.7782,-0.7662,-0.6651,-0.5431,-0.4934,-0.4682,-0.5523,-0.502,-0.4206,-0.5077,-0.4444,-0.7129
Kenya,KEN,-0.3389,-0.5443,-0.5252,-0.6117,-0.4032,-0.301,-0.2488,-0.2466,-0.3319,-0.2732,-0.3316,-0.4046,-0.3984,-0.607,-0.5662,-0.6031,-0.599,-0.4991,-0.5553,-0.3937,-0.4075,-0.355,-0.4697,-0.2939,0.5911,0.3772,-0.1273,-0.2077,0.2402,0.5965,0.2183,0.3272,0.9102,1.0044,0.773,0.7213,0.8994,0.4083,0.203,0.1407,-0.0031,0.0942,-0.2063
Kyrgyzstan,KGZ,0.0372,0.0655,0.2673,0.1296,-0.1071,0.2522,0.0454,-0.1303,-0.3796,-0.1029,-0.1033,0.0215,-0.082,-0.2983,-0.2627,-0.1206,-0.0938,0.1201,0.2002,-0.1974,0.0384,0.0565,0.1924,0.3606,0.6139,0.3232,0.7421,0.542,0.3358,0.7357,0.6744,0.5902,-0.1188,0.4445,0.1553,0.066,0.3548,0.2655,0.5068,0.4301,0.1745,0.4302,0.3101
Cambodia,KHM,-0.5606,-0.6636,-0.6487,-0.6199,-0.579,-0.6337,-0.6263,-0.7535,-0.8514,-0.915,-0.7833,-0.7414,-0.8362,-1.1339,-1.1481,-0.9588,-0.8616,-0.8584,-0.9075,-1.1925,-1.4677,-1.352,-0.9051,-1.1342,-0.5602,-0.6507,-0.8236,-0.74,-0.7629,-0.7154,-0.9112,-1.046,-1.0114,-1.0407,-1.0257,-1.0501,-1.0372,-1.0894,-1.1869,-0.9863,-1.0686,-1.1163,-1.0712
South Korea,KOR,2.1058,2.1124,2.0988,2.0576,1.9659,1.8137,1.8419,1.7519,1.7451,1.6224,1.5654,1.5653,1.5919,1.6729,1.4773,1.3876,1.4146,1.4569,1.2531,1.1657,1.1341,1.2814,1.2399,1.0469,0.7854,0.8545,0.8072,0.8522,0.8613,0.8434,0.8264,0.78,0.7809,0.7235,0.7489,0.7411,0.8082,0.8528,0.7901,0.8489,0.8824,0.9212,1.0138
Kuwait,KWT,-0.7033,-0.2493,-0.415,-0.5446,-1.2559,-1.1853,-1.1273,-1.5907,0.179,-1.684,-2.6921,-2.2269,-1.4988,-0.2824,-0.8371,-0.7159,-0.8026,-0.6361,-0.803,-0.4944,-0.4769,-1.0076,-0.4134,-0.6471,-1.1176,-1.1083,-1.0994,-1.1023,-1.0923,-1.06,-1.0867,-1.1146,-0.9961,-1.1815,-1.1672,-1.2041,-1.1925,-1.1271,-1.2063,-1.1982,-1.1925,-1.2272,-1.1895
Laos,LAO,-0.6275,-0.756,-0.817,-0.8569,-0.9231,-0.9038,-0.8705,-0.7719,-0.8549,-0.9388,-0.7816,-0.7037,-0.8871,-0.9825,-1.008,-1.1233,-0.9976,-0.9281,-1.0423,-1.1405,-0.956,-0.8131,-0.6104,-1.1112,-0.4744,-0.498,-0.6602,-0.5353,-0.7465,-0.5864,-0.7406,-0.7078,-0.6298,-0.9112,-0.798,-0.8723,-1.0283,-0.846,-0.9555,-1.0878,-1.1103,-1.0503,-1.1543
Lebanon,LBN,0.3538,0.416,0.476,0.3852,0.3193,0.3787,0.3698,0.397,0.4834,0.5298,0.4959,0.494,0.4482,0.3639,0.2864,0.1616,0.2177,0.1044,0.123,0.1721,0.2679,0.2749,-0.0928,-0.0119,1.1125,1.0915,1.2659,1.3306,1.6646,1.4208,1.3757,1.4281,1.4937,1.4636,1.6813,1.8885,1.738,1.6157,1.3171,1.1061,1.4733,0.955,1.075
Liberia,LBR,-1.1532,-0.6915,-1.2194,-1.3426,-1.1918,-0.8184,-1.0341,-0.709,-0.82,-0.5615,-0.9027,-1.143,-1.0402,-0.7579,0.1922,0.0463,-0.6801,-0.6141,-0.7458,-0.66,-0.5878,-0.7822,-1.2236,-0.891,-1.1058,-0.9985,-1.138,-1.1783,-1.0754,-1.0011,-1.1219,-1.0193,-1.0611,-1.0268,-1.0463,-1.117,-1.1079,-1.1226,-1.0188,-1.0218,-1.1572,-1.1583,-1.1297
Libya,LBY,-1.4634,-1.0324,-1.1369,-1.6569,-1.5342,-1.8563,-2.7911,-1.727,-1.1,-1.7976,-1.7132,-1.3983,-0.7585,-0.5899,-0.9086,-0.329,-0.6991,-0.8949,-0.8412,-0.7584,-0.6166,-0.6751,-0.4833,-0.4667,-1.1519,-1.2029,-1.2308,-1.2289,-1.1596,-1.124,-1.1579,-1.1462,-1.1587,-1.1671,-1.1379,-1.1709,-1.1231,-1.1875,-1.206,-1.1373,-1.1886,-1.242,-1.1882
Sri Lanka,LKA,-0.3558,-0.4925,-0.497,-0.4653,-0.3087,-0.3106,-0.2369,-0.2571,-0.4084,-0.4334,-0.1369,-0.2793,-0.3753,-0.5084,-0.4352,-0.5018,-0.4703,-0.4127,-0.482,-0.4799,-0.5769,-0.6174,-0.7148,-0.6342,0.4259,0.463,0.2631,0.4004,0.2978,0.4458,0.5135,0.2996,0.3077,0.2017,0.374,0.3493,0.2477,0.2217,0.1636,-0.0481,-0.0585,-0.0074,-0.0013
Lithuania,LTU,0.8571,0.774,0.6471,0.619,0.6787,0.6753,0.7405,0.771,0.6711,0.5727,0.5432,0.5666,0.5497,0.365,0.3308,0.1528,0.1635,0.1848,0.2232,0.2891,0.3315,0.3542,0.3587,0.4177,1.5413,1.5967,1.5604,1.4837,1.5605,1.3051,1.2147,1.1167,1.3515,1.2924,1.1897,1.4818,1.2505,1.0624,0.7936,0.8077,0.8705,0.7515,0.7671
Latvia,LVA,0.7046,0.6233,0.4674,0.5456,0.6495,0.6553,0.7021,0.7216,0.6082,0.6792,0.5805,0.658,0.5509,0.5278,0.4141,0.4215,0.4142,0.27,0.2703,0.253,0.2332,0.3547,0.2398,0.3413,1.2749,1.4362,1.3051,1.1701,1.3541,1.3012,1.0023,1.1211,1.1646,1.124,1.3405,1.1021,1.0365,0.8863,0.8458,0.7693,0.6254,0.5172,0.3718
Morocco,MAR,-0.5627,-0.5766,-0.6081,-0.574,-0.4319,-0.4729,-0.3253,-0.3618,-0.4621,-0.3575,-0.4585,-0.3548,-0.4194,-0.4742,-0.6104,-0.703,-0.6974,-0.6237,-0.579,-0.5726,-0.7306,-0.6284,-0.5709,-0.6006,-0.0741,-0.0788,-0.1241,0.027,0.0388,0.2048,0.0329,0.0145,0.05,0.0226,-0.0589,0.0527,0.1781,-0.117,-0.1962,-0.2279,-0.4225,-0.3404,-0.3851
Moldova,MDA,-0.1812,-0.0973,-0.1975,-0.1483,0.0279,0.1441,0.1702,0.0403,0.1269,0.1598,0.0962,0.2906,0.0415,-0.1216,-0.1306,-0.1029,-0.0221,0.1079,0.0245,-0.021,0.0801,0.1197,0.1503,0.4467,-0.0287,0.0275,0.0216,0.0698,0.2404,0.34,0.5515,0.4081,0.4732,0.1901,0.0623,0.4113,0.2103,-0.0866,-0.115,-0.0611,0.1043,0.1525,0.0974
Madagascar,MDG,-1.0063,-1.0563,-0.9439,-0.78,-0.6901,-0.7793,-0.6552,-0.4908,-0.5023,-0.4848,-0.6049,-0.4583,-0.7734,-0.8056,-1.1049,-1.1852,-1.1117,-1.0589,-1.0747,-1.0329,-1.0148,-1.0977,-0.972,-0.9487,-0.8562,-0.8133,-0.6288,-0.5337,-0.5086,-0.612,-0.482,-0.4242,-0.0809,-0.29,-0.3463,-0.3216,-0.5221,-0.2256,-0.7346,-0.7674,-0.6386,-0.6924,-0.6212
Mexico,MEX,1.2881,1.3538,1.3934,1.332,1.2881,1.235,1.1651,1.0291,1.2584,1.1942,1.2185,1.3445,1.302,1.3396,1.1757,1.1609,1.2637,1.0756,0.9227,0.9615,0.7383,0.7833,0.8889,0.7074,0.6554,0.6306,0.6511,0.6823,0.7147,0.7478,0.6625,0.6914,0.6382,0.6861,0.7239,0.5848,0.6633,0.7779,0.8998,0.7286,0.6008,0.6531,0.6605
North Macedonia,MKD,0.0683,-0.079,-0.1864,-0.2417,-0.2158,-0.1239,-0.0826,-0.0849,-0.0886,-0.1633,-0.0671,-0.0815,-0.097,-0.1254,-0.1282,-0.2161,-0.0323,0.0745,0.163,0.1317,0.0339,0.2905,0.3598,0.3971,-0.2354,-0.243,-0.3127,-0.2374,-0.2159,0.2188,0.1638,0.2302,0.5726,0.6008,-0.0397,0.0707,0.4272,0.2522,0.2685,0.2126,0.4205,0.4112,0.43
Mali,MLI,-0.4897,-0.4478,-0.423,-0.6752,-1.0404,-1.1685,-0.6826,-0.6687,-0.6326,-1.0147,-0.3154,-0.4491,-0.552,-0.8376,-0.6186,-0.8646,-0.7611,-0.1401,-0.3943,-0.8333,-0.8925,-1.1773,-0.8208,-0.7181,-0.8471,-0.5818,-0.6038,-1.0479,-1.0253,-1.0393,-0.8242,-0.6886,-0.642,-0.8633,-0.4633,-0.6078,-0.6648,-0.8128,-0.8111,-0.874,-0.6817,-0.4111,-0.5143
Myanmar,MMR,-0.9735,-0.8559,-1.0227,-1.1494,-1.3515,-1.1396,-1.1535,-1.0704,-1.2945,-1.2303,-1.0518,-1.0261,-1.2006,-1.1347,-1.0555,-1.3514,-1.2479,-1.2813,-1.2509,-1.1991,-1.3376,-1.237,-1.3316,-1.294,-0.1817,-0.1794,-0.5967,-0.8569,-1.1103,-0.6878,-0.9028,-0.8901,-1.0081,-1.1008,-1.0675,-1.0187,-1.0827,-0.9881,-0.8258,-1.0469,-0.9922,-1.0133,-0.9337
Mongolia,MNG,-0.8781,-1.0768,-0.9637,-1.2155,-1.3748,-1.2491,-1.3461,-1.0496,-1.3621,-0.8608,-1.1061,-0.9436,-0.8088,-0.8245,-0.9208,-0.9447,-0.7346,-0.6338,-0.5558,-0.5198,-0.5141,-0.5423,-0.2811,-0.609,-1.106,-1.1656,-1.0594,-1.1652,-1.1725,-1.1361,-1.211,-1.1363,-1.1985,-1.137,-1.1422,-1.1062,-1.0143,-0.9485,-1.0995,-1.0055,-0.9991,-0.9704,-0.9238
Mozambique,MOZ,-1.2491,-1.4142,-1.1851,-1.2403,-1.0367,-1.1356,-1.2661,-1.1971,-1.4636,-0.9477,-0.9733,-1.4531,-1.1976,-1.2406,-1.0253,-1.2597,-1.3325,-1.5466,-0.7777,-0.2862,-0.6214,-0.6095,-1.0786,-0.9966,-1.0317,-1.1722,-1.0068,-1.1081,-0.9325,-0.8953,-1.0468,-1.0249,-1.1397,-0.7326,-0.7631,-1.167,-1.0333,-1.0938,-0.985,-1.1433,-1.1864,-1.2732,-0.7982
Mauritania,MRT,-1.026,-1.4492,-1.5266,-1.4209,-1.4256,-1.6827,-1.4928,-1.5649,-1.8963,-1.3603,-1.9529,-1.8657,-1.7238,-1.3877,-1.8914,-0.743,-1.2926,-1.1849,-1.4354,-1.2704,-1.4375,-1.7139,-1.1834,-1.6259,-1.2054,-1.3501,-1.3451,-1.3199,-1.2121,-1.2754,-1.2966,-1.2705,-1.3497,-1.2467,-1.3004,-1.333,-1.2849,-1.3085,-1.3512,-1.1661,-1.2678,-1.3029,-1.2956
Mauritius,MUS,-0.1731,-0.2307,-0.3351,-0.1657,-0.0564,-0.1021,-0.0967,-0.0679,-0.0777,-0.0075,-0.1481,-0.17,-0.2148,-0.1385,-0.1742,-0.2917,-0.3886,-0.2874,-0.4243,-0.4761,-0.5366,-0.4686,-0.5827,-0.4913,-0.074,-0.1864,-0.0237,-0.1842,-0.1495,0.0159,0.2224,0.1718,0.1205,0.2231,-0.2033,-0.0826,-0.1378,-0.0073,-0.308,-0.4319,-0.3775,-0.5363,-0.6005
Malawi,MWI,-1.1208,-1.0237,-0.9993,-0.745,-0.47,-0.8024,-1.0853,-1.0091,-1.0145,-1.253,-0.9494,-0.8483,-0.8143,-1.3746,-1.2417,-1.5444,-1.4439,-1.2033,-1.1108,-1.1256,-1.2974,-1.2211,-1.2072,-1.0882,-1.1239,-1.0397,-1.0699,-0.8601,-0.5988,-0.8104,-1.0768,-0.924,-1.0064,-1.0796,-0.9189,-0.9263,-0.8823,-1.2349,-1.0671,-1.259,-1.2332,-1.051,-1.0068
Malaysia,MYS,1.0289,1.0213,1.0524,1.0344,0.9925,0.9416,0.9364,1.022,0.8899,0.7327,0.9202,0.958,0.979,0.92,1.2295,1.1299,1.0205,0.9118,0.8024,0.7695,0.4972,0.5854,0.5579,0.4272,0.7279,0.6743,0.8519,0.8,0.7814,0.6814,0.7256,0.6419,0.5232,0.5868,0.483,0.337,0.3494,0.1916,0.3461,0.1685,0.2622,0.3238,0.169
Namibia,NAM,-0.4305,-0.4931,-0.5223,-0.355,-0.5211,-0.3141,-0.4018,-0.5628,-0.7064,0.0863,-0.0907,-0.4586,-0.4253,-0.4366,-0.4133,-0.1946,-0.1381,-0.5265,-0.389,,,,,,-0.6448,-0.741,-0.8045,-0.5705,-0.5022,-0.3886,-0.3321,-0.6346,-0.7437,0.1762,-0.2218,-0.5446,-0.6924,-0.4385,-0.4641,-0.3536,-0.3634,-0.7233,-0.6187
Nigeria,NGA,-1.8971,-1.7646,-1.7944,-2.1798,-1.9002,-1.6781,-1.6056,-1.8758,-1.895,-1.6652,-1.7968,-2.092,-2.0742,-2.2429,-2.3516,-1.6002,-1.7065,-1.8962,-2.188,-1.9645,-1.8384,-1.8146,-1.9323,-2.1075,-1.2834,-1.2999,-1.3077,-1.3515,-1.2288,-1.1465,-1.1753,-1.2235,-1.2946,-1.2049,-1.1594,-1.2539,-1.224,-1.3337,-1.3443,-1.2771,-1.2898,-1.3286,-1.3084
Nicaragua,NIC,-0.8361,-0.9583,-0.9143,-0.9611,-0.8541,-0.8017,-0.6024,-0.7284,-0.884,-0.7846,-0.6304,-0.7061,-0.9392,-0.9082,-0.9998,-0.9408,-0.7945,-0.8863,-0.7496,-0.8203,-0.7944,-0.6828,-0.7686,-0.5619,-0.6862,-0.78,-0.8888,-0.9147,-0.7957,-0.5969,-0.4067,-0.6247,-0.7123,-0.6355,-0.4722,-0.7627,-0.89,-0.7598,-0.6906,-0.7307,-0.5362,-0.581,-0.6264
Netherlands,NLD,0.9801,1.0323,1.0936,1.1216,1.087,1.0172,0.9637,0.9988,1.1062,1.1102,1.0702,0.9996,1.1177,1.0808,1.1714,1.246,1.1748,1.2885,1.2425,1.4255,1.3016,1.3455,1.3372,1.4019,1.6997,1.5667,1.4581,1.3709,1.3245,1.4454,1.5464,1.5584,1.2535,1.2088,1.3011,1.4633,1.4751,1.6058,1.6196,1.4436,1.6714,1.5055,1.6338
Norway,NOR,0.4362,0.4125,0.5687,0.9125,0.6819,0.7046,0.512,0.5339,0.6224,0.7331,0.705,0.6408,0.6102,0.7046,0.7356,0.8768,0.7548,0.5409,0.6424,0.8247,0.8824,0.8545,0.8157,0.8734,-0.0465,0.0635,0.1477,0.3661,0.1386,0.0595,-0.0373,-0.0566,0.0269,0.0347,-0.0845,-0.0628,-0.2849,-0.195,-0.0639,0.0822,0.0192,-0.1928,-0.2012
New Zealand,NZL,0.1287,0.1721,0.1029,0.2135,0.1226,0.1957,0.218,0.2907,0.1714,0.2533,0.3222,0.3865,0.4206,0.4844,0.4491,0.3922,0.3686,0.2089,0.3938,0.3476,0.3722,0.3522,0.3925,0.5005,0.0447,0.1186,0.2389,0.2195,0.2613,0.4303,0.7452,0.7303,0.7469,0.793,0.6983,0.8472,0.8403,0.8258,1.0068,1.0383,0.7713,0.7061,0.7838
Oman,OMN,-0.4812,-0.4321,-0.5653,-0.6704,-0.7321,-0.693,-0.7799,-0.6007,-0.5145,-0.6927,-0.7476,-0.7137,-0.8658,-0.8575,-0.7016,-0.6341,-0.9179,-1.1045,-1.2584,-0.9284,-0.2069,-0.228,-0.2215,-0.1921,-0.9807,-0.9823,-1.0117,-1.075,-1.0622,-1.0336,-1.068,-0.99,-1.0276,-1.0495,-1.0835,-1.1251,-1.1834,-1.222,-1.1826,-1.1647,-1.214,-1.2926,-1.2917
Pakistan,PAK,-0.6795,-0.7244,-0.7192,-0.7045,-0.5959,-0.6904,-0.5919,-0.5798,-0.6633,-0.4652,-0.3653,-0.4259,-0.513,-0.6174,-0.6541,-0.7901,-0.7694,-0.745,-0.7677,-0.8734,-0.8573,-0.852,-0.766,-0.7723,0.273,0.4094,0.4187,0.3786,0.4917,0.4979,0.4689,0.7256,0.3771,0.4833,0.5265,0.4171,0.3176,0.2547,0.3325,0.1623,-0.3991,-0.4083,-0.4417
Panama,PAN,-0.2404,0.1399,0.761,0.8267,0.8978,0.8492,1.0049,0.9299,0.7703,0.6877,0.6274,0.5083,0.5185,0.0767,0.0623,-0.0351,0.0473,0.1875,0.1338,0.1606,-0.0028,-0.0284,-0.0296,0.1567,-0.496,-0.1989,0.6603,0.8729,0.9704,0.9809,1.1814,1.133,0.9705,0.7804,0.8984,0.7495,0.7595,0.4007,0.4526,0.057,0.2234,0.4359,0.4211
Peru,PER,-0.8057,-0.792,-0.7718,-0.7224,-0.617,-0.6351,-0.4667,-0.527,-0.6799,-0.4829,-0.4038,-0.4907,-0.5303,-0.5468,-0.6009,-0.5942,-0.4767,-0.3393,-0.3872,-0.4547,-0.4513,-0.5883,-0.3752,-0.3954,-0.2391,-0.3257,-0.0393,0.1884,0.4247,0.1242,0.337,0.2402,0.1095,0.4036,0.2178,-0.111,-0.1598,0.1509,0.1341,0.2043,0.0059,0.0756,-0.0396
Philippines,PHL,0.6747,0.7158,0.9374,0.8336,0.8375,0.64,0.4482,0.5037,0.5425,0.4918,0.4713,0.3273,0.3272,0.1227,0.2865,0.0942,0.3011,0.1943,0.0002,0.0722,-0.119,0.055,0.0054,-0.2066,0.2371,0.2303,0.3252,0.458,0.5901,0.4628,0.5551,0.4185,0.09,0.0318,0.0288,-0.272,-0.1756,-0.241,-0.2567,-0.3888,-0.2315,-0.1598,-0.3658
Papua New Guinea,PNG,-1.6783,-1.6209,-1.8031,-1.8341,-1.5642,-1.502,-1.0443,-1.1591,-1.6396,-1.6167,-1.4345,-1.6452,-1.7437,-1.5578,-1.5834,-1.4545,-1.2594,-1.3176,-1.1897,-1.7609,-2.0427,-1.9355,-1.9247,-2.1157,-1.2386,-1.2879,-1.2886,-1.3135,-1.1651,-1.1665,-1.0238,-1.0551,-1.239,-1.2618,-1.2229,-1.2731,-1.2372,-1.2248,-1.2129,-1.1733,-1.1275,-1.1996,-1.0908
Poland,POL,1.0986,1.1876,1.1233,1.1411,1.1334,1.111,1.0391,1.1666,1.0873,1.1556,1.1178,1.1077,1.0678,0.9699,0.9821,0.876,0.9421,0.9793,0.9433,0.784,0.8327,0.8401,0.7981,0.7751,1.2128,1.0049,1.1734,1.0563,1.0395,0.988,1.1455,0.9662,1.1121,0.7895,0.9019,0.9086,1.2626,1.5409,1.4861,1.7374,1.6665,1.7526,1.8421
Portugal,PRT,0.8011,0.7139,0.684,0.725,0.7636,0.7053,0.6993,0.6986,0.6576,0.6473,0.7443,0.7388,0.6954,0.6735,0.6985,0.6001,0.5841,0.7014,0.6271,0.5404,0.544,0.4774,0.4857,0.4037,1.9357,2.0237,2.075,1.9806,2.0394,2.2219,2.1149,2.1089,2.0409,2.0651,1.8194,1.6494,1.7508,1.7406,1.7178,1.4675,1.3927,1.3117,1.34
Paraguay,PRY,-0.5504,-0.6947,-0.7603,-0.5546,-0.6106,-0.5614,-0.4927,-0.4898,-0.5568,-0.5349,-0.4826,-0.4862,-0.5022,-0.6405,-0.646,-0.7804,-0.7161,-0.7556,-0.8315,-0.6268,-0.4354,-0.6118,-0.6711,-0.3151,-0.8433,-0.9786,-0.9983,-0.8693,-0.8749,-0.8252,-0.6976,-0.781,-0.7521,-0.8091,-0.7746,-0.6153,-0.549,-0.6598,-0.8659,-0.8049,-0.88,-0.8627,-0.8789
Qatar,QAT,-0.3087,-0.3992,-0.5331,-0.372,-0.5684,-0.5671,-0.6439,-1.105,-0.1171,-0.9632,-0.9085,-0.5822,-0.4647,-0.0814,0.0139,0.2152,-0.0257,-0.2527,-0.4691,-0.6835,-1.0204,-1.1264,-0.5014,-0.5944,-1.0189,-1.0928,-1.1052,-0.9862,-0.9902,-1.006,-0.9934,-1.0597,-1.0199,-1.0381,-1.0278,-1.0493,-1.061,-1.0796,-1.0321,-1.0316,-1.0461,-1.1368,-1.1345
Romania,ROU,1.0879,1.1761,1.1796,1.0397,1.0849,1.0694,0.9522,0.9703,0.8979,0.9496,0.8917,0.8921,0.7307,0.5676,0.5277,0.3999,0.5496,0.4617,0.5496,0.5183,0.5617,0.7176,0.6071,0.6158,1.2371,1.0753,1.1,1.141,1.1973,1.0855,1.2289,1.2371,1.2362,1.0467,1.2665,1.1654,1.2068,1.3157,1.133,1.2039,1.0871,1.0796,1.04
Russia,RUS,-0.0378,0.1215,0.0974,0.1741,-0.0106,-0.0817,-0.1301,-0.0284,0.1329,0.0299,0.0558,0.1799,0.3115,0.5638,0.4241,0.6926,0.6022,0.5754,0.7552,0.541,0.7052,0.5989,0.5014,0.2249,0.1631,0.2542,0.3198,0.1526,-0.172,-0.2701,-0.2218,-0.3103,-0.2714,-0.1542,-0.163,-0.1972,-0.0892,-0.0413,0.0296,0.2921,0.2649,0.2095,0.363
Saudi Arabia,SAU,0.6731,0.3821,-0.0595,-0.0015,-0.1837,-0.1436,-0.6179,-0.7148,0.1796,-0.4969,-0.87,-0.5826,-0.121,0.3528,0.241,0.4667,0.0367,0.1007,-0.0605,0.2173,0.0611,-0.3034,-0.2013,0.3011,-0.4258,-0.4921,-0.7867,-0.8384,-0.8623,-0.8864,-0.9784,-0.977,-0.8277,-0.9163,-0.9692,-0.9966,-0.9222,-0.8823,-0.9132,-0.7561,-0.9061,-0.9815,-1.0048
Senegal,SEN,-0.6269,-0.6003,-0.6166,-0.5928,-0.5058,-0.5624,-0.3882,-0.7549,-0.595,-0.7353,-0.5827,-0.3419,-0.5354,-0.2907,-0.6359,-0.4196,-0.5407,-0.587,-0.4385,-0.6256,-0.451,-0.6358,-0.7203,-0.8225,-0.1708,-0.2259,-0.3873,-0.1226,0.004,-0.1827,-0.0065,-0.4329,-0.1769,-0.4909,-0.2303,0.2869,-0.1667,0.0183,-0.2975,-0.2162,-0.5437,-0.5603,-0.3516
Singapore,SGP,1.8512,1.8825,1.9345,1.8721,1.7486,1.8389,1.7588,1.8129,2.0195,1.9775,1.9067,1.6601,1.6964,1.7607,1.8171,1.7907,1.711,1.6251,1.5549,1.6547,1.4383,1.2344,1.3018,1.2052,0.6391,0.4745,0.6095,0.6413,0.6395,0.6454,0.5852,0.6525,0.5634,0.5668,0.5311,0.5233,0.4672,0.4679,0.5711,0.6351,0.6854,0.6397,0.5399
El Salvador,SLV,0.1341,0.1148,0.113,0.0524,0.1206,0.1084,0.132,0.0944,0.0266,-0.0944,0.0792,-0.0235,-0.1226,-0.291,-0.2008,-0.3064,-0.2804,-0.1574,-0.1143,-0.1256,-0.1279,-0.116,-0.2298,-0.1418,0.2492,0.3339,0.3508,0.4044,0.369,0.4742,0.3603,0.2988,0.2128,0.2234,0.3599,0.2459,0.1943,0.0741,0.1008,-0.1758,-0.1131,-0.0519,-0.0509
Serbia,SRB,0.6668,0.6139,0.6222,0.5981,0.6005,0.6255,0.695,0.625,0.6,0.6325,0.6338,0.7447,0.5833,0.627,,,,,,,,,,,1.6173,1.5389,1.366,1.4846,1.3267,1.3542,1.5481,1.6555,1.5855,1.4756,1.5536,1.3835,1.5923,1.4658,,,,,
Slovakia,SVK,1.4125,1.4818,1.4449,1.4673,1.5242,1.5044,1.354,1.4237,1.4491,1.4093,1.4661,1.3925,1.36,1.2616,1.2679,1.3453,1.2842,1.3063,1.3285,1.2479,1.1661,1.2302,1.1972,1.3173,0.878,0.8265,0.8089,0.7819,0.7742,0.7184,0.8087,0.7983,0.7523,0.7641,0.684,0.7034,0.8675,0.9992,0.906,0.928,1.1751,1.1952,1.2144
